AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,H_MEDIAN,FIFTY_PERCENT,SIXTY_PERCENT,ADJ_MEDIAN,FIFTY_PERCENT_ADJ,SIXTY_PERCENT_ADJ,PCT_ADJ,REGION
10180,"Abilene, TX",4,TX,16.41,8.2,9.85,18.2,9.1,10.92,0.8243546195500109,Southwest
10420,"Akron, OH",4,OH,19.44,9.72,11.66,21.56,10.78,12.93,0.6958672482929875,Great Lakes
10500,"Albany, GA",4,GA,15.77,7.88,9.46,17.49,8.74,10.49,0.8578097214214128,Southeast
10540,"Albany, OR",4,OR,19.13,9.56,11.48,21.21,10.61,12.73,0.7071437170316611,Far West
10580,"Albany-Schenectady-Troy, NY",4,NY,22.91,11.46,13.75,25.4,12.7,15.24,0.590469633645381,Mid East
10740,"Albuquerque, NM",4,NM,18.5,9.25,11.1,20.51,10.26,12.31,0.731224827395442,Southwest
10780,"Alexandria, LA",4,LA,15.85,7.92,9.51,17.58,8.79,10.55,0.8534800824489387,Southeast
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,PA,19.35,9.68,11.61,21.46,10.73,12.87,0.699103840145513,Mid East
11020,"Altoona, PA",4,PA,17.22,8.61,10.33,19.09,9.55,11.46,0.7855783569579373,Mid East
11100,"Amarillo, TX",4,TX,17.13,8.56,10.28,18.99,9.5,11.4,0.7897057388683991,Southwest
11180,"Ames, IA",4,IA,19.88,9.94,11.93,22.04,11.02,13.23,0.680465759900185,Plains
11260,"Anchorage, AK",4,AK,24.13,12.06,14.48,26.76,13.38,16.05,0.5606158021887973,Far West
11460,"Ann Arbor, MI",4,MI,22.71,11.36,13.63,25.18,12.59,15.11,0.5956697184859391,Great Lakes
11500,"Anniston-Oxford-Jacksonville, AL",4,AL,16.62,8.31,9.97,18.43,9.21,11.06,0.8139385864510036,Southeast
11540,"Appleton, WI",4,WI,19.46,9.73,11.68,21.58,10.79,12.95,0.6951520712649372,Great Lakes
11700,"Asheville, NC",4,NC,17.59,8.8,10.55,19.5,9.75,11.7,0.769053968551204,Southeast
12020,"Athens-Clarke County, GA",4,GA,17.72,8.86,10.63,19.65,9.82,11.79,0.7634119247638645,Southeast
12060,"Atlanta-Sandy Springs-Roswell, GA",4,GA,20.3,10.15,12.18,22.51,11.25,13.51,0.6663871579712156,Southeast
12100,"Atlantic City-Hammonton, NJ",4,NJ,18.61,9.3,11.17,20.64,10.32,12.38,0.7269027032141686,Mid East
12220,"Auburn-Opelika, AL",4,AL,15.76,7.88,9.46,17.48,8.74,10.49,0.858354016929929,Southeast
12260,"Augusta-Richmond County, GA-SC",4,GA,17.72,8.86,10.63,19.65,9.82,11.79,0.7634119247638645,Southeast
12420,"Austin-Round Rock, TX",4,TX,21.16,10.58,12.7,23.46,11.73,14.08,0.6393033698873194,Southwest
12540,"Bakersfield, CA",4,CA,18.3,9.15,10.98,20.29,10.15,12.18,0.739216355563698,Far West
12580,"Baltimore-Columbia-Towson, MD",4,MD,23.3,11.65,13.98,25.84,12.92,15.5,0.5805862363440205,Mid East
12940,"Baton Rouge, LA",4,LA,19.24,9.62,11.54,21.33,10.67,12.8,0.7031007955725405,Southeast
12980,"Battle Creek, MI",4,MI,19.34,9.67,11.6,21.44,10.72,12.87,0.6994653209315241,Great Lakes
13020,"Bay City, MI",4,MI,17.29,8.64,10.37,19.17,9.59,11.5,0.7823978777799699,Great Lakes
13140,"Beaumont-Port Arthur, TX",4,TX,18.85,9.43,11.31,20.9,10.45,12.54,0.7176477085843862,Southwest
13220,"Beckley, WV",4,WV,15.8,7.9,9.48,17.52,8.76,10.51,0.8561809687858023,Southeast
13380,"Bellingham, WA",4,WA,20.47,10.23,12.28,22.7,11.35,13.62,0.660852921681274,Far West
13460,"Bend-Redmond, OR",4,OR,19.63,9.81,11.78,21.77,10.88,13.06,0.6891319055942781,Far West
13740,"Billings, MT",4,MT,18.87,9.44,11.32,20.92,10.46,12.55,0.716887085681806,Rocky Mountains
13780,"Binghamton, NY",4,NY,18.91,9.46,11.35,20.97,10.48,12.58,0.7153706666745465,Mid East
13820,"Birmingham-Hoover, AL",4,AL,19,9.5,11.4,21.07,10.53,12.64,0.7119820687797724,Southeast
13900,"Bismarck, ND",4,ND,21.37,10.69,12.82,23.7,11.85,14.22,0.6330210251200598,Plains
13980,"Blacksburg-Christiansburg-Radford, VA",4,VA,18.29,9.14,10.97,20.28,10.14,12.17,0.7396205197821585,Southeast
14010,"Bloomington, IL",4,IL,20.2,10.1,12.12,22.4,11.2,13.44,0.669686104297806,Great Lakes
14020,"Bloomington, IN",4,IN,18.89,9.45,11.33,20.95,10.47,12.57,0.7161280734153349,Great Lakes
14100,"Bloomsburg-Berwick, PA",4,PA,19.39,9.7,11.63,21.5,10.75,12.9,0.6976616455294317,Mid East
14260,"Boise City, ID",4,ID,18.31,9.15,10.99,20.3,10.15,12.18,0.738812632813527,Rocky Mountains
14500,"Boulder, CO",4,CO,26.33,13.16,15.8,29.2,14.6,17.52,0.5137736159064064,Rocky Mountains
14540,"Bowling Green, KY",4,KY,16.36,8.18,9.82,18.14,9.07,10.88,0.8268740407589045,Southeast
14740,"Bremerton-Silverdale, WA",4,WA,24.55,12.28,14.73,27.22,13.61,16.33,0.5510248190148952,Far West
15180,"Brownsville-Harlingen, TX",4,TX,12.35,6.18,7.41,13.69,6.85,8.22,1.0953570288919576,Southwest
15260,"Brunswick, GA",4,GA,16.2,8.1,9.72,17.96,8.98,10.78,0.835040697951585,Southeast
